Pin From, Pin To, Datapath Delay (ps)
puf_loop[0].puf_inst/dl1/Q_reg/G, puf_loop[0].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[0].puf_inst/dl0/Q_reg/G, puf_loop[0].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[10].puf_inst/dl1/Q_reg/G, puf_loop[10].puf_inst/dl0/Q_reg/D, 1.290
puf_loop[10].puf_inst/dl0/Q_reg/G, puf_loop[10].puf_inst/dl1/Q_reg/D, 1.344
puf_loop[11].puf_inst/dl1/Q_reg/G, puf_loop[11].puf_inst/dl0/Q_reg/D, 1.290
puf_loop[11].puf_inst/dl0/Q_reg/G, puf_loop[11].puf_inst/dl1/Q_reg/D, 1.344
puf_loop[12].puf_inst/dl1/Q_reg/G, puf_loop[12].puf_inst/dl0/Q_reg/D, 1.343
puf_loop[12].puf_inst/dl0/Q_reg/G, puf_loop[12].puf_inst/dl1/Q_reg/D, 1.287
puf_loop[13].puf_inst/dl1/Q_reg/G, puf_loop[13].puf_inst/dl0/Q_reg/D, 1.343
puf_loop[13].puf_inst/dl0/Q_reg/G, puf_loop[13].puf_inst/dl1/Q_reg/D, 1.287
puf_loop[14].puf_inst/dl1/Q_reg/G, puf_loop[14].puf_inst/dl0/Q_reg/D, 1.343
puf_loop[14].puf_inst/dl0/Q_reg/G, puf_loop[14].puf_inst/dl1/Q_reg/D, 1.287
puf_loop[15].puf_inst/dl1/Q_reg/G, puf_loop[15].puf_inst/dl0/Q_reg/D, 1.343
puf_loop[15].puf_inst/dl0/Q_reg/G, puf_loop[15].puf_inst/dl1/Q_reg/D, 1.287
puf_loop[1].puf_inst/dl1/Q_reg/G, puf_loop[1].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[1].puf_inst/dl0/Q_reg/G, puf_loop[1].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[2].puf_inst/dl1/Q_reg/G, puf_loop[2].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[2].puf_inst/dl0/Q_reg/G, puf_loop[2].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[3].puf_inst/dl1/Q_reg/G, puf_loop[3].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[3].puf_inst/dl0/Q_reg/G, puf_loop[3].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[4].puf_inst/dl1/Q_reg/G, puf_loop[4].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[4].puf_inst/dl0/Q_reg/G, puf_loop[4].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[5].puf_inst/dl1/Q_reg/G, puf_loop[5].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[5].puf_inst/dl0/Q_reg/G, puf_loop[5].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[6].puf_inst/dl1/Q_reg/G, puf_loop[6].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[6].puf_inst/dl0/Q_reg/G, puf_loop[6].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[7].puf_inst/dl1/Q_reg/G, puf_loop[7].puf_inst/dl0/Q_reg/D, 1.250
puf_loop[7].puf_inst/dl0/Q_reg/G, puf_loop[7].puf_inst/dl1/Q_reg/D, 1.473
puf_loop[8].puf_inst/dl1/Q_reg/G, puf_loop[8].puf_inst/dl0/Q_reg/D, 1.290
puf_loop[8].puf_inst/dl0/Q_reg/G, puf_loop[8].puf_inst/dl1/Q_reg/D, 1.344
puf_loop[9].puf_inst/dl1/Q_reg/G, puf_loop[9].puf_inst/dl0/Q_reg/D, 1.290
puf_loop[9].puf_inst/dl0/Q_reg/G, puf_loop[9].puf_inst/dl1/Q_reg/D, 1.344
