Device,Po[0],Po[1],Po[2],Po[3],Po[4],Po[5],Po[6],Po[7],Po[8],Po[9],Po[10],Po[11],Po[12],Po[13],Po[14],Po[15]
Nx00,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
Nx00,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
Nx00,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
Nx00,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
Nx53,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Nx53,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Nx53,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Nx53,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Nx56,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
Nx56,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
Nx56,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
Nx56,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
Nx59,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
Nx59,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
Nx59,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1
Nx59,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1
Nx120,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
Nx120,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
Nx120,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
Nx120,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
