Net Name, To Pin, Delay Type, Delay (ps)
puf_loop[0].puf_inst/dl0/in0,puf_loop[0].puf_inst/dl1/Q_reg_i_1/I0,NetDelay,493
puf_loop[0].puf_inst/dl0/OUT,your_instance_name/inst/ila_core_inst/shifted_data_in_reg[7][0]_srl8/D,NetDelay,3888
puf_loop[0].puf_inst/dl0/OUT,your_instance_name/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M_i_1/I1,NetDelay,3706
puf_loop[0].puf_inst/dl0/OUT,puf_loop[0].puf_inst/dl0/Q_reg/D,NetDelay,549
puf_loop[0].puf_inst/dl0/out,puf_loop[0].puf_inst/dl0/OUT_INST_0/I0,NetDelay,493
puf_loop[0].puf_inst/dl0/reset,your_instance_name/inst/ila_core_inst/shifted_data_in_reg[7][17]_srl8/D,NetDelay,3843
puf_loop[0].puf_inst/dl0/reset,your_instance_name/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[17].U_M_i_1/I0,NetDelay,3133
puf_loop[0].puf_inst/dl0/reset,puf_loop[10].puf_inst/dl0/Q_reg/CLR,NetDelay,3788
puf_loop[0].puf_inst/dl0/reset,puf_loop[10].puf_inst/dl1/Q_reg/CLR,NetDelay,3815
puf_loop[0].puf_inst/dl0/reset,puf_loop[11].puf_inst/dl0/Q_reg/CLR,NetDelay,3499
puf_loop[0].puf_inst/dl0/reset,puf_loop[11].puf_inst/dl1/Q_reg/CLR,NetDelay,3526
puf_loop[0].puf_inst/dl0/reset,puf_loop[12].puf_inst/dl0/Q_reg/CLR,NetDelay,3210
puf_loop[0].puf_inst/dl0/reset,puf_loop[12].puf_inst/dl1/Q_reg/CLR,NetDelay,3237
puf_loop[0].puf_inst/dl0/reset,puf_loop[13].puf_inst/dl0/Q_reg/CLR,NetDelay,2920
puf_loop[0].puf_inst/dl0/reset,puf_loop[13].puf_inst/dl1/Q_reg/CLR,NetDelay,2948
puf_loop[0].puf_inst/dl0/reset,puf_loop[14].puf_inst/dl0/Q_reg/CLR,NetDelay,2631
puf_loop[0].puf_inst/dl0/reset,puf_loop[14].puf_inst/dl1/Q_reg/CLR,NetDelay,2659
puf_loop[0].puf_inst/dl0/reset,puf_loop[15].puf_inst/dl0/Q_reg/CLR,NetDelay,2342
puf_loop[0].puf_inst/dl0/reset,puf_loop[15].puf_inst/dl1/Q_reg/CLR,NetDelay,2689
puf_loop[0].puf_inst/dl0/reset,puf_loop[16].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[17].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[18].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[19].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[1].puf_inst/dl0/Q_reg/CLR,NetDelay,3988
puf_loop[0].puf_inst/dl0/reset,puf_loop[1].puf_inst/dl1/Q_reg/CLR,NetDelay,4129
puf_loop[0].puf_inst/dl0/reset,puf_loop[20].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[21].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[22].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[23].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[24].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[25].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[26].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[27].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[28].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[29].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[2].puf_inst/dl0/Q_reg/CLR,NetDelay,4111
puf_loop[0].puf_inst/dl0/reset,puf_loop[2].puf_inst/dl1/Q_reg/CLR,NetDelay,3980
puf_loop[0].puf_inst/dl0/reset,puf_loop[30].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[31].puf_inst/reset,NetDelay,0
puf_loop[0].puf_inst/dl0/reset,puf_loop[3].puf_inst/dl0/Q_reg/CLR,NetDelay,3831
puf_loop[0].puf_inst/dl0/reset,puf_loop[3].puf_inst/dl1/Q_reg/CLR,NetDelay,3701
puf_loop[0].puf_inst/dl0/reset,puf_loop[4].puf_inst/dl0/Q_reg/CLR,NetDelay,3836
puf_loop[0].puf_inst/dl0/reset,puf_loop[4].puf_inst/dl1/Q_reg/CLR,NetDelay,3695
puf_loop[0].puf_inst/dl0/reset,puf_loop[5].puf_inst/dl0/Q_reg/CLR,NetDelay,3532
puf_loop[0].puf_inst/dl0/reset,puf_loop[5].puf_inst/dl1/Q_reg/CLR,NetDelay,3402
puf_loop[0].puf_inst/dl0/reset,puf_loop[6].puf_inst/dl0/Q_reg/CLR,NetDelay,3227
puf_loop[0].puf_inst/dl0/reset,puf_loop[6].puf_inst/dl1/Q_reg/CLR,NetDelay,3398
puf_loop[0].puf_inst/dl0/reset,puf_loop[7].puf_inst/dl0/Q_reg/CLR,NetDelay,3221
puf_loop[0].puf_inst/dl0/reset,puf_loop[7].puf_inst/dl1/Q_reg/CLR,NetDelay,3101
puf_loop[0].puf_inst/dl0/reset,puf_loop[8].puf_inst/dl0/Q_reg/CLR,NetDelay,4356
puf_loop[0].puf_inst/dl0/reset,puf_loop[8].puf_inst/dl1/Q_reg/CLR,NetDelay,4384
